2019/02/11 14:52:20	app start.
2019/02/11 14:52:22	app close.
2019/02/11 14:54:32	app start.
2019/02/11 14:54:35	app close.
2019/02/11 14:56:00	app start.
2019/02/11 14:56:10	app close.
2019/02/11 15:08:20	app start.
2019/02/11 15:13:53	app start.
2019/02/11 15:13:57	app close.
2019/02/11 15:14:00	app start.
2019/02/11 15:14:05	app close.
2019/02/11 15:20:48	app start.
2019/02/11 15:21:37	app start.
2019/02/11 15:22:55	app start.
2019/02/11 15:23:07	app close.
2019/02/11 15:23:12	app start.
2019/02/11 15:23:18	app close.
2019/02/11 15:24:53	app start.
2019/02/11 15:25:06	app close.
2019/02/11 15:27:12	app start.
2019/02/11 15:27:24	app close.
2019/02/11 15:27:26	app start.
2019/02/11 15:27:32	app close.
2019/02/11 15:27:43	app start.
2019/02/11 15:27:55	app close.
2019/02/11 15:30:16	app start.
2019/02/11 15:30:21	app close.
2019/02/11 15:30:38	app start.
2019/02/11 15:30:49	app close.
2019/02/11 15:31:17	app start.
2019/02/11 15:31:26	app close.
2019/02/11 15:31:29	app start.
2019/02/11 15:31:39	app close.
2019/02/11 15:31:43	app start.
2019/02/11 15:31:53	app close.
2019/02/11 15:31:59	app start.
2019/02/11 15:32:08	app close.
2019/02/11 15:33:09	app start.
2019/02/11 15:33:35	app start.
2019/02/11 15:34:37	app start.
2019/02/11 15:34:41	app close.
2019/02/11 15:35:53	app start.
2019/02/11 15:35:59	app close.
2019/02/11 15:36:02	app start.
2019/02/11 15:36:12	app close.
2019/02/11 15:37:20	app start.
2019/02/11 15:37:26	app close.
2019/02/11 15:37:29	app start.
2019/02/11 15:37:41	app close.
2019/02/11 15:37:49	app start.
2019/02/11 15:38:05	app close.
2019/02/11 15:38:38	app start.
2019/02/11 15:39:15	app close.
2019/02/11 15:39:43	app start.
2019/02/11 15:39:51	app close.
2019/02/11 15:39:59	app start.
2019/02/11 15:40:10	app close.
2019/02/11 15:41:01	app start.
2019/02/11 15:41:30	app close.
2019/02/11 15:42:23	app start.
2019/02/11 15:44:15	app start.
2019/02/11 15:44:30	app close.
2019/02/11 15:46:33	app start.
